client_num	customer_age	gender	dependent_count	education_level	marital_status	state_cd	zipcode	car_owner	house_owner	personal_loan	contact	customer_job	income	cust_satisfaction_score	IncomeGroup	agegroup
708707808	47	F	3	Graduate	Married	CA	91750	yes	no	yes	cellular	Blue-collar	37378	3	med	40-50
708784083	43	F	3	Graduate	Married	CA	91750	yes	no	yes	cellular	Selfemployeed	57111	3	med	40-50
708874533	43	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	1250	2	low	40-50
708894183	46	M	3	Graduate	Married	CA	91750	yes	no	no	cellular	White-collar	64783	2	med	40-50
708928008	58	F	3	Graduate	Married	CA	91750	no	yes	no	cellular	Retirees	48210	3	med	50-60
709051533	43	M	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Selfemployeed	87414	2	med	40-50
709161108	46	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	14975	1	low	40-50
709381383	45	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Businessman	43175	3	med	40-50
709657533	43	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	112593	2	med	40-50
709695333	47	F	3	Graduate	Married	CA	91750	no	no	yes	cellular	Selfemployeed	39032	2	med	40-50
709759908	39	M	3	Graduate	Married	CA	91750	no	yes	yes	cellular	Govt	57930	2	med	30-40
710006958	37	M	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Govt	76798	1	med	30-40
710438358	46	F	3	Graduate	Married	CA	91750	no	yes	yes	cellular	Retirees	22553	1	low	40-50
710458758	46	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	9535	2	low	40-50
710611683	41	F	3	Graduate	Married	CA	91750	no	yes	no	cellular	Selfemployeed	56312	1	med	40-50
710632683	42	F	3	Graduate	Married	CA	91750	no	no	no	cellular	White-collar	25311	1	low	40-50
710809833	35	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	35387	1	med	30-40
711040758	42	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	34162	2	low	40-50
711041508	41	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	Govt	30945	2	low	40-50
711240108	44	M	3	Graduate	Married	CA	91750	no	no	no	cellular	White-collar	78822	2	med	40-50
711553308	48	M	3	Graduate	Married	CA	91750	yes	no	no	cellular	Businessman	67908	3	med	40-50
711567333	35	M	3	Graduate	Married	CA	91750	yes	no	no	cellular	Retirees	69512	1	med	30-40
711794358	48	F	3	Graduate	Married	CA	91750	yes	yes	yes	cellular	Blue-collar	34850	1	low	40-50
711817158	46	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	28815	2	low	40-50
711827958	41	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	5525	3	low	40-50
711831558	48	F	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Govt	35706	3	med	40-50
712013808	48	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Businessman	53332	2	med	40-50
712279683	36	F	3	Graduate	Married	CA	91750	no	yes	no	cellular	Selfemployeed	32038	1	low	30-40
712663533	43	F	3	Graduate	Married	CA	91750	no	yes	yes	cellular	Businessman	44807	1	med	40-50
712691883	48	F	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Govt	24119	3	low	40-50
712737108	42	F	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Businessman	54107	3	med	40-50
713158083	48	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	White-collar	23176	3	low	40-50
713172408	40	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	Selfemployeed	14144	3	low	40-50
713180433	35	M	3	Graduate	Married	CA	91750	no	no	yes	cellular	Businessman	80401	3	med	30-40
713634108	50	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Blue-collar	56630	3	med	50-60
714196008	41	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	74146	3	med	40-50
714490308	37	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	14975	3	low	30-40
714496083	51	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	Selfemployeed	14975	2	low	50-60
714502458	51	F	3	Graduate	Married	CA	91750	no	no	no	cellular	White-collar	41428	1	med	50-60
714741933	49	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	Govt	48150	1	med	40-50
714742758	39	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	76660	2	med	30-40
714745608	39	M	3	Graduate	Married	CA	91750	no	yes	no	cellular	White-collar	99959	3	med	30-40
715098333	41	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	Govt	57270	3	med	40-50
715105908	44	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	White-collar	28716	2	low	40-50
715156383	41	F	3	Graduate	Married	CA	91750	yes	no	yes	cellular	Selfemployeed	14975	3	low	40-50
715222533	41	M	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Selfemployeed	25901	3	low	40-50
716198358	38	F	3	Graduate	Married	CA	91750	yes	yes	no	cellular	Govt	17129	1	low	30-40
716285358	40	M	3	Graduate	Married	CA	91750	no	yes	yes	cellular	White-collar	32586	3	low	40-50
716298633	54	M	3	Graduate	Married	CA	91750	no	yes	no	cellular	White-collar	100545	5	med	50-60
716617608	44	F	3	Graduate	Married	CA	91750	yes	no	no	cellular	Selfemployeed	18812	2	low	40-50
716620458	49	F	3	Graduate	Married	CA	91750	no	yes	yes	cellular	Govt	27505	2	low	40-50
716725008	38	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	108690	3	med	30-40
717001908	44	F	3	Graduate	Married	CA	91750	no	yes	no	cellular	Selfemployeed	33215	2	low	40-50
717073308	40	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	79061	3	med	40-50
717211608	48	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Govt	77865	5	med	40-50
717268458	38	F	3	Graduate	Married	CA	91750	no	no	no	cellular	Selfemployeed	19091	5	low	30-40
717376758	45	M	3	Graduate	Married	CA	91750	no	no	no	cellular	Businessman	50497	3	med	40-50
